REGION,TIMESLICE,FUEL,YEAR,VALUE
"SC","TM04","COMELC",2022,0.00051589496726754
"SC","TM04","COMELC",2023,0.000526506234451134
"SC","TM04","COMELC",2024,0.000544902934472862
"SC","TM04","COMELC",2025,0.000563324704601652
"SC","TM04","COMELC",2026,0.000581411409368475
"SC","TM04","COMELC",2027,0.000599498114135298
"SC","TM04","COMELC",2028,0.000617584831424652
"SC","TM04","COMELC",2029,0.000635671536191475
"SC","TM04","COMELC",2030,0.000653758240958298
"SC","TM04","COMELC",2031,0.000657736686624591
"SC","TM04","COMELC",2032,0.00066175490384934
"SC","TM04","COMELC",2033,0.000665813305876068
"SC","TM04","COMELC",2034,0.000669912293425767
"SC","TM04","COMELC",2035,0.000674052267219429
"SC","TM04","COMELC",2036,0.000678233640500577
"SC","TM04","COMELC",2037,0.000682456839035265
"SC","TM04","COMELC",2038,0.000686722251021954
"SC","TM04","COMELC",2039,0.00069103032727176
"SC","TM04","COMELC",2040,0.000695381493550737
"SC","TM04","COMELC",2041,0.000699776150579877
"SC","TM04","COMELC",2042,0.000704214774215358
"SC","TM04","COMELC",2043,0.000708697777700703
"SC","TM04","COMELC",2044,0.000718281571215747
"SC","TM04","COMELC",2045,0.000727865364730791
"SC","TM04","COMELC",2046,0.000737449158245835
"SC","TM04","COMELC",2047,0.000747032951760879
"SC","TM04","COMELC",2048,0.000756616745275923
"SC","TM04","COMELC",2049,0.000766200538790967
"SC","TM04","COMELC",2050,0.000775784332306011
"SC","TM04","RESELC",2019,0.000253813407952209
"SC","TM04","RESELC",2020,0.000259419895351281
"SC","TM04","RESELC",2021,0.000265187597814447
"SC","TM04","RESELC",2022,0.000271122839219862
"SC","TM04","RESELC",2023,0.000275357583528132
"SC","TM04","RESELC",2024,0.000286158316605756
"SC","TM04","RESELC",2025,0.000297233142841908
"SC","TM04","RESELC",2026,0.000305084581940943
"SC","TM04","RESELC",2027,0.000312958473938061
"SC","TM04","RESELC",2028,0.000320854981626165
"SC","TM04","RESELC",2029,0.00032877429284322
"SC","TM04","RESELC",2030,0.000336716557859598
"SC","TM04","RESELC",2031,0.000340557105414519
"SC","TM04","RESELC",2032,0.000344443184892156
"SC","TM04","RESELC",2033,0.000348375347283873
"SC","TM04","RESELC",2034,0.000352354181148627
"SC","TM04","RESELC",2035,0.000356380262522844
"SC","TM04","RESELC",2036,0.000360454154920419
"SC","TM04","RESELC",2037,0.00036457645942284
"SC","TM04","RESELC",2038,0.000368747789634126
"SC","TM04","RESELC",2039,0.000372968746635765
"SC","TM04","RESELC",2040,0.000377239931509245
"SC","TM04","RESELC",2041,0.000381561982903647
"SC","TM04","RESELC",2042,0.000385935526945521
"SC","TM04","RESELC",2043,0.000390361202283948
"SC","TM04","RESELC",2044,0.00039564010027206
"SC","TM04","RESELC",2045,0.000400918998260172
"SC","TM04","RESELC",2046,0.000406197883725753
"SC","TM04","RESELC",2047,0.000411476781713865
"SC","TM04","RESELC",2048,0.000416755679701977
"SC","TM04","RESELC",2049,0.000422034577690089
"SC","TM04","RESELC",2050,0.000427313475678201
"SC","TM04","TX",2025,2.5785138120188e-05
"SC","TM04","TX",2026,2.9733417474736e-05
"SC","TM04","TX",2027,3.364268994482e-05
"SC","TM04","TX",2028,3.7590853494664e-05
"SC","TM04","TX",2029,4.1541839784168e-05
"SC","TM04","TX",2030,4.4785679124284e-05
"SC","TM04","TX",2031,4.7037882784048e-05
"SC","TM04","TX",2032,4.9078602928328e-05
"SC","TM04","TX",2033,5.1061874289032e-05
"SC","TM04","TX",2034,5.2815036877692e-05
"SC","TM04","TX",2035,5.4421759592948e-05
"SC","TM04","TX",2036,5.5882949571648e-05
"SC","TM04","TX",2037,5.7250525922752e-05
"SC","TM04","TX",2038,5.8400548661804e-05
"SC","TM04","TX",2039,5.9530947328724e-05
"SC","TM04","TX",2040,6.0485216691252e-05
"SC","TM04","TX",2041,6.1454772274708e-05
"SC","TM04","TX",2042,6.2424323032968e-05
"SC","TM04","TX",2043,6.3393873791228e-05
"SC","TM04","TX",2044,6.4363429374684e-05
"SC","TM04","TX",2045,6.5332980132944e-05
"SC","TM04","TX",2046,6.63025357164e-05
"SC","TM04","TX",2047,6.727208647466e-05
"SC","TM04","TX",2048,6.824163723292e-05
"SC","TM04","TX",2049,6.9211192816376e-05
"SC","TM04","TX",2050,7.0180743574636e-05
"SC","TM05","COMELC",2019,0.000535881381667896
"SC","TM05","COMELC",2020,0.000399274684756644
"SC","TM05","COMELC",2021,0.000418715056733022
"SC","TM05","COMELC",2022,0.00055651830472932
"SC","TM05","COMELC",2023,0.000567965139450972
"SC","TM05","COMELC",2024,0.000587810458669596
"SC","TM05","COMELC",2025,0.000607682822101416
"SC","TM05","COMELC",2026,0.00062719373597655
"SC","TM05","COMELC",2027,0.000646704649851684
"SC","TM05","COMELC",2028,0.000666215577235416
"SC","TM05","COMELC",2029,0.00068572649111055
"SC","TM05","COMELC",2030,0.000705237404985684
"SC","TM05","COMELC",2031,0.000709529127096078
"SC","TM05","COMELC",2032,0.00071386375251372
"SC","TM05","COMELC",2033,0.000718241727022344
"SC","TM05","COMELC",2034,0.000722663482897086
"SC","TM05","COMELC",2035,0.000727129452413082
"SC","TM05","COMELC",2036,0.000731640081354066
"SC","TM05","COMELC",2037,0.00073619582901237
"SC","TM05","COMELC",2038,0.000740797114154532
"SC","TM05","COMELC",2039,0.00074544442309008
"SC","TM05","COMELC",2040,0.000750138215111346
"SC","TM05","COMELC",2041,0.000754878922493466
"SC","TM05","COMELC",2042,0.000759667058563164
"SC","TM05","COMELC",2043,0.000764503069104174
"SC","TM05","COMELC",2044,0.000774841523359926
"SC","TM05","COMELC",2045,0.000785179977615678
"SC","TM05","COMELC",2046,0.00079551843187143
"SC","TM05","COMELC",2047,0.000805856886127182
"SC","TM05","COMELC",2048,0.000816195340382934
"SC","TM05","COMELC",2049,0.000826533794638686
"SC","TM05","COMELC",2050,0.000836872248894438
"SC","TM05","RESELC",2019,0.000273799545398322
"SC","TM05","RESELC",2020,0.000279847506826098
"SC","TM05","RESELC",2021,0.000286069377944526
"SC","TM05","RESELC",2022,0.000292471980595596
"SC","TM05","RESELC",2023,0.000297040183181256
"SC","TM05","RESELC",2024,0.000308691402990648
"SC","TM05","RESELC",2025,0.000320638298993064
"SC","TM05","RESELC",2026,0.000329107987310094
"SC","TM05","RESELC",2027,0.000337601896543338
"SC","TM05","RESELC",2028,0.00034612020230457
"SC","TM05","RESELC",2029,0.00035466310722276
"SC","TM05","RESELC",2030,0.000363230773401084
"SC","TM05","RESELC",2031,0.000367373738830302
