REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"SC","TM01","CONLPG",1,2039,0.000207999993344
"SC","TM01","CONLPG",1,2040,0.000207999993344
"SC","TM01","CONLPG",1,2041,0.000213333326506667
"SC","TM01","CONLPG",1,2042,0.000213333326506667
"SC","TM01","CONLPG",1,2043,0.000213333326506667
"SC","TM01","CONLPG",1,2044,0.000218666659669334
"SC","TM01","CONLPG",1,2045,0.000218666659669334
"SC","TM01","CONLPG",1,2046,0.000218666659669334
"SC","TM01","CONLPG",1,2047,0.000223999992832
"SC","TM01","CONLPG",1,2048,0.000223999992832
"SC","TM01","CONLPG",1,2049,0.000223999992832
"SC","TM01","CONLPG",1,2050,0.000229333325994667
"SC","TM02","MINSOL",1,2050,0.300814932956595
"SC","TM02","MINWND",1,2019,0.0379079165645568
"SC","TM02","MINWND",1,2021,0.0185466953894445
"SC","TM02","MINWND",1,2022,0.0610714509335929
"SC","TM02","MINWND",1,2023,0.0619212426812928
"SC","TM02","MINWND",1,2024,0.0619212426812928
"SC","TM02","MINWND",1,2025,0.0746940298418563
"SC","TM02","MINWND",1,2026,0.0619212426812928
"SC","TM02","MINWND",1,2027,0.0619212426812928
"SC","TM02","MINWND",1,2028,0.0646526134351491
"SC","TM02","MINWND",1,2029,0.092674765878232
"SC","TM02","MINWND",1,2030,0.0928139795526528
"SC","TM02","MINWND",1,2031,0.104298491247308
"SC","TM02","MINWND",1,2032,0.102246784364275
"SC","TM02","MINWND",1,2033,0.0968097047616
"SC","TM02","MINWND",1,2034,0.0790231622237141
"SC","TM02","MINWND",1,2035,0.0798141776981549
"SC","TM02","MINWND",1,2036,0.08061383466388
"SC","TM02","MINWND",1,2037,0.107108274495744
"SC","TM02","MINWND",1,2038,0.107108274495744
"SC","TM02","MINWND",1,2039,0.107108274495744
"SC","TM02","MINWND",1,2040,0.107108274495744
"SC","TM02","MINWND",1,2041,0.107108274495744
"SC","TM02","MINWND",1,2042,0.107108274495744
"SC","TM02","MINWND",1,2043,0.107108274495744
"SC","TM02","MINWND",1,2044,0.0749757921470208
"SC","TM02","MINWND",1,2045,0.0749757921470208
"SC","TM02","IMPDSL",1,2019,0.16499999472
"SC","TM02","IMPDSL",1,2020,0.093169548812485
"SC","TM02","IMPDSL",1,2021,0.163185788065859
"SC","TM02","IMPDSL",1,2022,0.164299418253006
"SC","TM02","IMPDSL",1,2023,0.16499999472
"SC","TM02","IMPDSL",1,2024,0.16499999472
"SC","TM02","IMPDSL",1,2025,0.16499999472
"SC","TM02","IMPDSL",1,2026,0.131196125220954
"SC","TM02","IMPDSL",1,2027,0.135038138876111
"SC","TM02","IMPDSL",1,2028,0.16499999472
"SC","TM02","IMPDSL",1,2029,0.142732236801169
"SC","TM02","IMPDSL",1,2030,0.16499999472
"SC","TM02","IMPDSL",1,2031,0.16499999472
"SC","TM02","IMPDSL",1,2032,0.164712040763971
"SC","TM02","IMPDSL",1,2033,0.16499999472
"SC","TM02","IMPDSL",1,2034,0.065999997888
"SC","TM02","IMPDSL",1,2035,0.065999997888
"SC","TM02","IMPDSL",1,2036,0.065999997888
"SC","TM02","PWRDIE",1,2019,0.0499999984
"SC","TM02","PWRDIE",1,2020,0.0282331966098439
"SC","TM02","PWRDIE",1,2021,0.0494502388078361
"SC","TM02","PWRDIE",1,2022,0.0497877025009111
"SC","TM02","PWRDIE",1,2023,0.0499999984
"SC","TM02","PWRDIE",1,2024,0.0499999984
"SC","TM02","PWRDIE",1,2025,0.0499999984
"SC","TM02","PWRDIE",1,2026,0.0397564015821074
"SC","TM02","PWRDIE",1,2027,0.0409206481442762
"SC","TM02","PWRDIE",1,2028,0.0499999984
"SC","TM02","PWRDIE",1,2029,0.0432521929700513
"SC","TM02","PWRDIE",1,2030,0.0499999984
"SC","TM02","PWRDIE",1,2031,0.0499999984
"SC","TM02","PWRDIE",1,2032,0.0499127396254459
"SC","TM02","PWRDIE",1,2033,0.0499999984
"SC","TM02","PWRDIE",1,2034,0.01999999936
"SC","TM02","PWRDIE",1,2035,0.01999999936
"SC","TM02","PWRDIE",1,2036,0.01999999936
"SC","TM02","PWRWND",1,2034,0.0258452575678674
"SC","TM02","PWRWND",1,2035,0.027415768871808
