REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","TM02","DEMRESELC","ELC002",2019,0.000118569676232043
"SC","TM02","DEMRESELC","ELC002",2020,0.000121188763226187
"SC","TM02","DEMRESELC","ELC002",2021,0.000123883162309269
"SC","TM02","DEMRESELC","ELC002",2022,0.000126655827699474
"SC","TM02","DEMRESELC","ELC002",2023,0.000128634100894764
"SC","TM02","DEMRESELC","ELC002",2024,0.000133679694957012
"SC","TM02","DEMRESELC","ELC002",2025,0.000138853332440316
"SC","TM02","DEMRESELC","ELC002",2026,0.000142521155190261
"SC","TM02","DEMRESELC","ELC002",2027,0.000146199466877247
"SC","TM02","DEMRESELC","ELC002",2028,0.000149888343550455
"SC","TM02","DEMRESELC","ELC002",2029,0.00015358787295894
"SC","TM02","DEMRESELC","ELC002",2030,0.000157298125301946
"SC","TM02","DEMRESELC","ELC002",2031,0.000159092248330413
"SC","TM02","DEMRESELC","ELC002",2032,0.000160907641729812
"SC","TM02","DEMRESELC","ELC002",2033,0.000162744562897371
"SC","TM02","DEMRESELC","ELC002",2034,0.000164603286780129
"SC","TM02","DEMRESELC","ELC002",2035,0.000166484082475188
"SC","TM02","DEMRESELC","ELC002",2036,0.000168387213229713
"SC","TM02","DEMRESELC","ELC002",2037,0.00017031295984068
"SC","TM02","DEMRESELC","ELC002",2038,0.000172261608955002
"SC","TM02","DEMRESELC","ELC002",2039,0.000174233441369655
"SC","TM02","DEMRESELC","ELC002",2040,0.000176228737881615
"SC","TM02","DEMRESELC","ELC002",2041,0.000178247796837669
"SC","TM02","DEMRESELC","ELC002",2042,0.000180290910734667
"SC","TM02","DEMRESELC","ELC002",2043,0.000182358377919396
"SC","TM02","DEMRESELC","ELC002",2044,0.00018482443056162
"SC","TM02","DEMRESELC","ELC002",2045,0.000187290483203844
"SC","TM02","DEMRESELC","ELC002",2046,0.000189756529996131
"SC","TM02","DEMRESELC","ELC002",2047,0.000192222582638355
"SC","TM02","DEMRESELC","ELC002",2048,0.000194688635280579
"SC","TM02","DEMRESELC","ELC002",2049,0.000197154687922803
"SC","TM02","DEMRESELC","ELC002",2050,0.000199620740565027
"SC","TM02","DEMCOMELC","ELC002",2019,0.000232064965011924
"SC","TM02","DEMCOMELC","ELC002",2020,0.000172907044204086
"SC","TM02","DEMCOMELC","ELC002",2021,0.000181325752890093
"SC","TM02","DEMCOMELC","ELC002",2022,0.00024100184356758
"SC","TM02","DEMCOMELC","ELC002",2023,0.000245958928083018
"SC","TM02","DEMCOMELC","ELC002",2024,0.000254553000330474
"SC","TM02","DEMCOMELC","ELC002",2025,0.000263158784151804
"SC","TM02","DEMCOMELC","ELC002",2026,0.000271608041208825
"SC","TM02","DEMCOMELC","ELC002",2027,0.000280057298265846
"SC","TM02","DEMCOMELC","ELC002",2028,0.000288506561172804
"SC","TM02","DEMCOMELC","ELC002",2029,0.000296955818229825
"SC","TM02","DEMCOMELC","ELC002",2030,0.000305405075286846
"SC","TM02","DEMCOMELC","ELC002",2031,0.000307263617821557
"SC","TM02","DEMCOMELC","ELC002",2032,0.00030914073975618
"SC","TM02","DEMCOMELC","ELC002",2033,0.000311036634138636
"SC","TM02","DEMCOMELC","ELC002",2034,0.000312951488166909
"SC","TM02","DEMCOMELC","ELC002",2035,0.000314885489038983
"SC","TM02","DEMCOMELC","ELC002",2036,0.000316838829802779
"SC","TM02","DEMCOMELC","ELC002",2037,0.000318811709356155
"SC","TM02","DEMCOMELC","ELC002",2038,0.000320804309047158
"SC","TM02","DEMCOMELC","ELC002",2039,0.00032281683947352
"SC","TM02","DEMCOMELC","ELC002",2040,0.000324849499533099
"SC","TM02","DEMCOMELC","ELC002",2041,0.000326902476423879
"SC","TM02","DEMCOMELC","ELC002",2042,0.000328975992443466
"SC","TM02","DEMCOMELC","ELC002",2043,0.000331070240639781
"SC","TM02","DEMCOMELC","ELC002",2044,0.000335547337824369
"SC","TM02","DEMCOMELC","ELC002",2045,0.000340024435008957
"SC","TM02","DEMCOMELC","ELC002",2046,0.000344501532193545
"SC","TM02","DEMCOMELC","ELC002",2047,0.000348978629378133
"SC","TM02","DEMCOMELC","ELC002",2048,0.000353455726562721
"SC","TM02","DEMCOMELC","ELC002",2049,0.000357932823747309
"SC","TM02","DEMCOMELC","ELC002",2050,0.000362409920931897
"SC","TM02","PWRDIST","ELC001",2019,0.000350634641243967
"SC","TM02","PWRDIST","ELC001",2020,0.000294095807430273
"SC","TM02","PWRDIST","ELC001",2021,0.000305208915199362
"SC","TM02","PWRDIST","ELC001",2022,0.000367657671267054
"SC","TM02","PWRDIST","ELC001",2023,0.000374593028977782
"SC","TM02","PWRDIST","ELC001",2024,0.000388232695287486
"SC","TM02","PWRDIST","ELC001",2025,0.00040201211659212
"SC","TM02","PWRDIST","ELC001",2026,0.000414129196399086
"SC","TM02","PWRDIST","ELC001",2027,0.000426256765143093
"SC","TM02","PWRDIST","ELC001",2028,0.000438394904723259
"SC","TM02","PWRDIST","ELC001",2029,0.000450543691188765
"SC","TM02","PWRDIST","ELC001",2030,0.000462703200588792
"SC","TM02","PWRDIST","ELC001",2031,0.00046635586615197
"SC","TM02","PWRDIST","ELC001",2032,0.000470048381485992
"SC","TM02","PWRDIST","ELC001",2033,0.000473781197036007
"SC","TM02","PWRDIST","ELC001",2034,0.000477554774947038
"SC","TM02","PWRDIST","ELC001",2035,0.000481369571514171
"SC","TM02","PWRDIST","ELC001",2036,0.000485226043032492
"SC","TM02","PWRDIST","ELC001",2037,0.000489124669196835
"SC","TM02","PWRDIST","ELC001",2038,0.00049306591800216
"SC","TM02","PWRDIST","ELC001",2039,0.00165885180554963
"SC","TM02","PWRDIST","ELC001",2040,0.00167229467700327
"SC","TM02","PWRDIST","ELC001",2041,0.000505150273261548
"SC","TM02","PWRDIST","ELC001",2042,0.000509266903178133
"SC","TM02","PWRDIST","ELC001",2043,0.000513428618559177
"SC","TM02","PWRDIST","ELC001",2044,0.000520371768385989
"SC","TM02","PWRDIST","ELC001",2045,0.000527314918212801
"SC","TM02","PWRDIST","ELC001",2046,0.00178302877042818
"SC","TM02","PWRDIST","ELC001",2047,0.000541201212016488
"SC","TM02","PWRDIST","ELC001",2048,0.0018293728006815
"SC","TM02","PWRDIST","ELC001",2049,0.000555087511670112
"SC","TM02","PWRDIST","ELC001",2050,0.000562030661496924
"SC","TM02","CONLPG","LPG",2019,1.5e-06
"SC","TM02","CONLPG","LPG",2020,1.33333333333333e-06
"SC","TM02","CONLPG","LPG",2021,1.38888888888889e-06
"SC","TM02","CONLPG","LPG",2022,1.61111111111111e-06
"SC","TM02","CONLPG","LPG",2023,1.61111111111111e-06
"SC","TM02","CONLPG","LPG",2024,1.66666666666667e-06
"SC","TM02","CONLPG","LPG",2025,1.77777777777778e-06
"SC","TM02","CONLPG","LPG",2026,1.83333333333333e-06
"SC","TM02","CONLPG","LPG",2027,1.83333333333333e-06
"SC","TM02","CONLPG","LPG",2028,1.88888888888889e-06
"SC","TM02","CONLPG","LPG",2029,1.94444444444444e-06
"SC","TM02","CONLPG","LPG",2030,2e-06
"SC","TM02","CONLPG","LPG",2031,2e-06
"SC","TM02","CONLPG","LPG",2032,2.05555555555556e-06
"SC","TM02","CONLPG","LPG",2033,2.05555555555556e-06
"SC","TM02","CONLPG","LPG",2034,2.05555555555556e-06
"SC","TM02","CONLPG","LPG",2035,2.11111111111111e-06
"SC","TM02","CONLPG","LPG",2036,2.11111111111111e-06
"SC","TM02","CONLPG","LPG",2037,2.11111111111111e-06
"SC","TM02","CONLPG","LPG",2038,2.16666666666667e-06
"SC","TM02","CONLPG","LPG",2039,2.16666666666667e-06
"SC","TM02","CONLPG","LPG",2040,2.16666666666667e-06
"SC","TM02","CONLPG","LPG",2041,2.22222222222222e-06
"SC","TM02","CONLPG","LPG",2042,2.22222222222222e-06
"SC","TM02","CONLPG","LPG",2043,2.22222222222222e-06
"SC","TM02","CONLPG","LPG",2044,2.27777777777778e-06
"SC","TM02","CONLPG","LPG",2045,2.27777777777778e-06
"SC","TM02","CONLPG","LPG",2046,2.27777777777778e-06
"SC","TM02","CONLPG","LPG",2047,2.33333333333333e-06
"SC","TM02","CONLPG","LPG",2048,2.33333333333333e-06
"SC","TM02","CONLPG","LPG",2049,2.33333333333333e-06
"SC","TM02","CONLPG","LPG",2050,2.38888888888889e-06
"SC","TM03","PWRDIE","DSL",2019,0.00171875
"SC","TM03","PWRDIE","DSL",2020,0.00171495949889806
"SC","TM03","PWRDIE","DSL",2021,0.00170525323461799
"SC","TM03","PWRDIE","DSL",2022,0.00171875
"SC","TM03","PWRDIE","DSL",2023,0.001774488890625
"SC","TM03","PWRDIE","DSL",2024,0.001817546775
"SC","TM03","PWRDIE","DSL",2025,0.001817546775
"SC","TM03","PWRDIE","DSL",2026,0.001817546775
"SC","TM03","PWRDIE","DSL",2027,0.00240541578620622
"SC","TM03","PWRDIE","DSL",2028,0.00240625
"SC","TM03","PWRDIE","DSL",2030,0.00240624999999999
"SC","TM03","PWRDIE","DSL",2032,0.00240625
"SC","TM03","PWRDIE","DSL",2033,0.00240625
"SC","TM03","PWRDIE","DSL",2034,0.000687499999999997
"SC","TM03","PWRDIE","DSL",2035,0.000687499999999996
"SC","TM03","PWRDIE","DSL",2036,0.000687500000000148
"SC","TM03","PWRWND","WND",2019,1.36366580689137e-06
"SC","TM03","PWRWND","WND",2022,2.81731287599222e-05
"SC","TM03","PWRWND","WND",2023,2.19114770715264e-05
"SC","TM03","PWRWND","WND",2024,0.000281110407855371
"SC","TM03","PWRWND","WND",2029,0.000472235586519548
"SC","TM03","PWRWND","WND",2030,0.000517135759667144
"SC","TM03","PWRWND","WND",2031,0.000496468851643218
"SC","TM03","PWRWND","WND",2033,0.000397796738205495
"SC","TM03","PWRWND","WND",2034,0.000397796738205495
"SC","TM03","PWRWND","WND",2035,0.000397796738205495
"SC","TM03","PWRWND","WND",2036,0.000397796738205495
"SC","TM03","PWRWND","WND",2037,0.000397796738205495
"SC","TM03","PWRWND","WND",2038,0.000397796738205495
"SC","TM03","PWRWND","WND",2039,0.000397796738205495
"SC","TM03","PWRWND","WND",2040,0.000397796738205495
"SC","TM03","PWRWND","WND",2041,0.000397796738205495
"SC","TM03","PWRWND","WND",2042,0.000397796738205495
"SC","TM03","PWRWND","WND",2043,0.000397796738205495
"SC","TM03","PWRWND","WND",2044,0.000278457716743847
"SC","TM03","PWRWND","WND",2045,0.000278457716743847
"SC","TM03","PWRSOL","SOL",2019,7.20477679492785e-07
"SC","TM03","PWRSOL","SOL",2025,6.53399630928805e-05
"SC","TM03","PWRSOL","SOL",2026,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2029,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2030,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2031,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2032,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2033,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2034,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2035,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2036,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2037,0.00026484693065218
"SC","TM03","PWRSOL","SOL",2038,0.000270813437758673
"SC","TM03","PWRSOL","SOL",2039,0.000276845195759982
"SC","TM03","PWRSOL","SOL",2040,0.000282942957414801
"SC","TM03","PWRSOL","SOL",2041,0.000285565055058509
"SC","TM03","PWRSOL","SOL",2042,0.000291797055728477
"SC","TM03","PWRSOL","SOL",2043,0.000298097300616069
"SC","TM03","PWRSOL","SOL",2044,0.00044651180205944
"SC","TM03","PWRSOL","SOL",2045,0.00045702275768313
"SC","TM03","PWRSOL","SOL",2046,0.00077336788120362
"SC","TM03","PWRSOL","SOL",2047,0.00078387883682731
"SC","TM03","PWRSOL","SOL",2048,0.000794389792451
"SC","TM03","PWRSOL","SOL",2049,0.00080490074807469
"SC","TM03","PWRSOL","SOL",2050,0.00081541170369838
"SC","TM03","BAT","ELC001",2042,0.000775293402843128
"SC","TM03","BAT","ELC001",2043,0.000782184007575766
"SC","TM03","BAT","ELC001",2044,0.000344462614141711
"SC","TM03","BAT","ELC001",2046,0.000404395909878618
"SC","TM03","BAT","ELC001",2049,0.000921079514875289
"SC","TM03","DEMRESELC","ELC002",2019,0.000181716329755082
"SC","TM03","DEMRESELC","ELC002",2020,0.000185730263932938
"SC","TM03","DEMRESELC","ELC002",2021,0.000189859619159606
"SC","TM03","DEMRESELC","ELC002",2022,0.000194108922981276
"SC","TM03","DEMRESELC","ELC002",2023,0.000197140765149736
"SC","TM03","DEMRESELC","ELC002",2024,0.000204873491286488
"SC","TM03","DEMRESELC","ELC002",2025,0.000212802452930184
"SC","TM03","DEMRESELC","ELC002",2026,0.000218423648074614
"SC","TM03","DEMRESELC","ELC002",2027,0.000224060918249378
"SC","TM03","DEMRESELC","ELC002",2028,0.00022971438000517
"SC","TM03","DEMRESELC","ELC002",2029,0.00023538416782356
"SC","TM03","DEMRESELC","ELC002",2030,0.000241070389289804
"SC","TM03","DEMRESELC","ELC002",2031,0.000243820008435462
"SC","TM03","DEMRESELC","ELC002",2032,0.000246602225913688
"SC","TM03","DEMRESELC","ELC002",2033,0.000249417436203754
"SC","TM03","DEMRESELC","ELC002",2034,0.000252266060681246
"SC","TM03","DEMRESELC","ELC002",2035,0.000255148511756312
"SC","TM03","DEMRESELC","ELC002",2036,0.000258065192873662
"SC","TM03","DEMRESELC","ELC002",2037,0.00026101653437432
"SC","TM03","DEMRESELC","ELC002",2038,0.000264002975564748
"SC","TM03","DEMRESELC","ELC002",2039,0.00026702494678597
"SC","TM03","DEMRESELC","ELC002",2040,0.00027008287837901
"SC","TM03","DEMRESELC","ELC002",2041,0.000273177227581206
"SC","TM03","DEMRESELC","ELC002",2042,0.000276308442664458
"SC","TM03","DEMRESELC","ELC002",2043,0.000279476980866104
"SC","TM03","DEMRESELC","ELC002",2044,0.00028325637918588
"SC","TM03","DEMRESELC","ELC002",2045,0.000287035777505656
"SC","TM03","DEMRESELC","ELC002",2046,0.000290815166859994
"SC","TM03","DEMRESELC","ELC002",2047,0.00029459456517977
"SC","TM03","DEMRESELC","ELC002",2048,0.000298373963499546
"SC","TM03","DEMRESELC","ELC002",2049,0.000302153361819322
"SC","TM03","DEMRESELC","ELC002",2050,0.000305932760139098
